Rectangle Coordinates: [Top-Left: (439, 862), Bottom-Right: (558, 891)]
Rectangle Coordinates: [Top-Left: (2183, 831), Bottom-Right: (2521, 994)]
Rectangle Coordinates: [Top-Left: (1829, 831), Bottom-Right: (2173, 994)]
Rectangle Coordinates: [Top-Left: (1481, 831), Bottom-Right: (1827, 994)]
Rectangle Coordinates: [Top-Left: (786, 831), Bottom-Right: (1132, 994)]
Rectangle Coordinates: [Top-Left: (1134, 798), Bottom-Right: (1479, 994)]
Rectangle Coordinates: [Top-Left: (1481, 777), Bottom-Right: (1504, 801)]
Rectangle Coordinates: [Top-Left: (2176, 770), Bottom-Right: (2521, 801)]
Rectangle Coordinates: [Top-Left: (1829, 770), Bottom-Right: (2173, 801)]
Rectangle Coordinates: [Top-Left: (1481, 770), Bottom-Right: (1827, 801)]
Rectangle Coordinates: [Top-Left: (1134, 770), Bottom-Right: (1479, 810)]
Rectangle Coordinates: [Top-Left: (786, 770), Bottom-Right: (1132, 800)]
Rectangle Coordinates: [Top-Left: (439, 770), Bottom-Right: (784, 801)]
Rectangle Coordinates: [Top-Left: (91, 770), Bottom-Right: (437, 801)]
Rectangle Coordinates: [Top-Left: (1481, 663), Bottom-Right: (1827, 768)]
Rectangle Coordinates: [Top-Left: (91, 638), Bottom-Right: (437, 768)]
Rectangle Coordinates: [Top-Left: (439, 634), Bottom-Right: (784, 768)]
Rectangle Coordinates: [Top-Left: (1487, 607), Bottom-Right: (1820, 631)]
Rectangle Coordinates: [Top-Left: (786, 604), Bottom-Right: (1132, 768)]
Rectangle Coordinates: [Top-Left: (2183, 603), Bottom-Right: (2521, 768)]
Rectangle Coordinates: [Top-Left: (1829, 603), Bottom-Right: (2173, 768)]
Rectangle Coordinates: [Top-Left: (2176, 542), Bottom-Right: (2521, 571)]
Rectangle Coordinates: [Top-Left: (1829, 542), Bottom-Right: (2173, 564)]
Rectangle Coordinates: [Top-Left: (1481, 542), Bottom-Right: (1827, 567)]
Rectangle Coordinates: [Top-Left: (1134, 542), Bottom-Right: (1479, 768)]
Rectangle Coordinates: [Top-Left: (786, 542), Bottom-Right: (1132, 564)]
Rectangle Coordinates: [Top-Left: (439, 542), Bottom-Right: (784, 566)]
Rectangle Coordinates: [Top-Left: (91, 542), Bottom-Right: (437, 562)]
Rectangle Coordinates: [Top-Left: (89, 541), Bottom-Right: (2528, 1457)]
Rectangle Coordinates: [Top-Left: (91, 495), Bottom-Right: (437, 540)]
Rectangle Coordinates: [Top-Left: (786, 436), Bottom-Right: (1132, 540)]
Rectangle Coordinates: [Top-Left: (99, 409), Bottom-Right: (431, 433)]
Rectangle Coordinates: [Top-Left: (7, 407), Bottom-Right: (40, 440)]
Rectangle Coordinates: [Top-Left: (1481, 406), Bottom-Right: (1827, 540)]
Rectangle Coordinates: [Top-Left: (439, 406), Bottom-Right: (784, 540)]
Rectangle Coordinates: [Top-Left: (1134, 383), Bottom-Right: (1479, 540)]
Rectangle Coordinates: [Top-Left: (2176, 379), Bottom-Right: (2521, 540)]
Rectangle Coordinates: [Top-Left: (1829, 376), Bottom-Right: (2173, 540)]
Rectangle Coordinates: [Top-Left: (2181, 350), Bottom-Right: (2237, 370)]
Rectangle Coordinates: [Top-Left: (7, 322), Bottom-Right: (27, 342)]
